l_neighborhood,deal_price,area_size,meter_price,lng,lat,uuid,rs_score
nr,2631200,572.0,4600,46.6304379,24.9069336,9cb981f4-0f17-46ab-ad19-7de64bac2030,0.5406
shf,830000,640.0,1297,46.6914015,24.5676903,09368c44-23d2-45fa-b95d-85ee3100354e,0.7181
shf,800000,375.0,2133,46.6833689,24.559965,c8a1841a-dd7d-46d8-a0d7-fae4f5728b9a,0.7016
ml,29925000,5153.22,5807,46.5692198,24.7850565,892df019-d024-4497-b3a2-3b35d7990280,0.641
shf,610000,450.0,1356,46.6942104,24.5661748,26bbbc14-c7ec-45f4-84e5-57db8e32a852,0.7189
shf,940000,750.0,1253,46.6975261,24.5616258,af265179-72c8-48b3-9105-c3658930ded0,0.7214
shf,1100000,770.0,1429,46.7064629,24.5659738,938f8f81-0ea6-499c-a017-815606b2424e,0.7305
nr,1760000,440.0,4000,46.6559234,24.885369,fe0bea30-15b1-4e3b-82a5-cd8f66a6cc66,0.6526
shf,1290000,550.0,2345,46.6977198,24.5597258,34bd0e32-bea7-4cc9-800a-02fa6c603d6c,0.7184
rd,2000000,400.0,5000,46.7778057,24.7420709,59bcddeb-5280-4027-af6b-81d096511c57,0.1596
nr,1720000,430.0,4000,46.6568698,24.8858882,21b5a57d-39a7-4f96-9a4d-327b9da3191d,0.6479
tn,3312500,625.0,5300,46.6957945,24.7774567,d28f7f14-3228-47cc-9bf3-a0ca70bed023,0.7127
rd,8007888,1906.64,4200,46.7748127,24.7286512,de8e53de-f377-4ea7-98d5-48dbdabf443c,0.1283
nr,3125000,625.0,5000,46.6617496,24.8588872,5b615c5c-c6c1-4895-8d78-2397f08b2e45,0.7591
rd,3700000,720.0,5139,46.7683063,24.7237908,a66049c2-bd0b-4b3d-a2e3-0cc76ecc723c,0.1409
ml,4000000,745.0,5369,46.625877,24.8001841,441e106b-6701-4849-9ede-04b15142b629,0.8084
ml,3920400,594.0,6600,46.5691123,24.7886833,d623b52b-4a61-4b3f-a79f-3cf0509c76f6,0.6373
rd,4000000,1560.0,2564,46.7605575,24.72399,6c9e7704-5de6-490b-94f5-dae95e2b6712,0.1798
rd,1540000,650.0,2369,46.7625841,24.7440415,5a8642f1-d9c7-4d5c-8a74-8d37563032d4,0.2564
nr,1742842,363.85,4790,46.6551385,24.8493369,4d6cddbf-ac05-4ac1-b3ab-c51d8494aedf,0.7512
nr,1330560,336.0,3960,46.6565205,24.8481935,6b5f796f-d6d1-4d1c-9d26-a518a778faf1,0.7617
ml,4401000,540.0,8150,46.5953273,24.7935391,bfb3b3c9-8157-40f7-abf7-916f69cc9dbf,0.7516
rd,3427000,780.0,4394,46.760189,24.7240852,e93b93e9-b2b0-409f-9b4f-a8e90534bb1c,0.1821
ml,6825000,1050.0,6500,46.5942739,24.8173959,52333cee-854c-4782-8e33-88a92758b45f,0.7874
nr,17472000,4480.0,3900,46.6538171,24.8764194,6dcf5dc5-1c84-4bc0-84b4-1c364f411caf,0.6991
ml,15750000,1050.0,15000,46.5929507,24.8171032,65f64cb9-9a13-4bb6-bb87-ffebb052f493,0.7801
shf,2000000,900.0,2222,46.7035523,24.5646449,7f48ce63-8a99-44dd-9fb8-aed49c13ce38,0.7377
nr,1425600,360.0,3960,46.6546446,24.8477821,6a14c29d-a5d5-47d9-bbf2-a73902a317e4,0.755
tn,1728585,437.5,3951,46.6932403,24.7661954,c9ec93a6-cd57-4141-a0f3-89d22f4755e2,0.6946
nr,6120000,900.0,6800,46.6909386,24.8346572,b9df1f87-c410-460e-8cb5-a698b767e800,0.8027
shf,850000,640.0,1328,46.6910349,24.5676276,c465d26a-6711-43fd-8047-72a689fa6315,0.7171
shf,1140750,575.0,1984,46.7085854,24.5726994,9e0247f5-0d31-4136-9c11-4cbe25794ee0,0.7232
nr,3600000,742.0,4852,46.6374631,24.8883245,7b75224b-5ab0-4dcb-89b2-e361031ed228,0.6365
rd,500000,800.0,625,46.772521,24.7470269,9d0232e2-da90-48f0-b1aa-773686e107c0,0.206
shf,500000,500.0,1000,46.7118306,24.5735879,45402e33-0217-4da2-95ec-8c2079114fe5,0.7061
ml,8325000,1110.0,7500,46.6187056,24.812991,14d69d39-12f9-4c73-9288-ae50d6cc4c43,0.7888
shf,2019600,1122.09,1800,46.6941105,24.5607472,268f4569-7d8c-4aa5-bfd0-b381a4aa14aa,0.708
nr,1330560,336.0,3960,46.6552897,24.8476806,8cdfff05-c028-409d-a59e-4f7878d6a62c,0.7565
ml,1120000,200.0,5600,46.5927103,24.8162315,d3ec83b9-11ae-4330-aea2-10b76dfef4ff,0.7814
nr,6615000,1050.0,6300,46.678531,24.8374361,c409bc4a-bfaf-4d7c-aa78-0cf1402315bb,0.8323
ml,2600000,625.0,4160,46.6241413,24.7937366,897c236a-c1f4-4718-a244-79667dd490ac,0.7963
nr,1720000,430.0,4000,46.6573204,24.8862909,8d9273fc-8d32-4c9c-bdf4-798e2c7f0306,0.6447
shf,400000,242.0,1653,46.6924965,24.5692645,3fe51d66-17c8-4f0c-b46b-6cccceb51143,0.7264
rd,4100000,656.0,6250,46.7736383,24.747726,69cb6b72-22af-4df1-86c6-c0f431ecc1c5,0.201
shf,1500000,849.0,1767,46.6787486,24.5540763,1215b7d5-45e4-4800-9ff3-6b11edc66288,0.6825
nr,1330560,336.0,3960,46.6560693,24.8477073,7ce08a17-1b3c-47a9-8768-874dbb67d438,0.7591
nr,1531920,312.0,4910,46.6542879,24.8487469,03f3b862-5161-452c-af43-e01d88634a05,0.7573
shf,600000,540.0,1111,46.6941752,24.5530803,a9fdb6ef-4634-4c7a-86f1-23581f2f0bca,0.7166
shf,800000,525.0,1524,46.6853188,24.5510941,6c5b8d5f-7aa4-464e-ac4b-a6be66c5aabf,0.7033
shf,600000,350.0,1714,46.6905742,24.5655122,46190628-8c27-48c4-be8e-775bd5be61d8,0.7094
ml,2812500,450.0,6250,46.6000821,24.8096229,281c20d8-2746-4d94-b9f0-36a7c5bbca86,0.8078
nr,3017988,810.0,3726,46.6628188,24.876145,14cb9d68-ace5-40b9-a80e-ddea892afbbd,0.6969
nr,2340000,450.0,5200,46.6783488,24.8384975,ae90e120-418b-40ab-9e48-d62038c06b21,0.8308
nr,1620000,450.0,3600,46.6743834,24.8583207,b04fda89-7a08-4587-94b8-43701c27daa3,0.7607
rd,750000,450.0,1667,46.7714035,24.7449517,c7b0bdda-d7ad-4b6c-ad5b-c75c0d370fa2,0.2069
nr,6022500,1095.0,5500,46.6689146,24.8601937,f492cc52-be91-44a7-bdf3-655c9a3955d0,0.7561
shf,1000000,600.0,1667,46.6912075,24.5470447,a1202f31-4e5f-43eb-bf78-6123cf14a206,0.7077
nr,1600000,400.0,4000,46.6562215,24.8880623,59f449e1-f5ab-448f-addd-70f9637c3561,0.6363
rd,1571428,750.0,2095,46.7613733,24.7330687,41446d98-063b-4c52-8c89-a4f6666dabe8,0.2193
ml,40000000,3035.62,13177,46.5908822,24.7850274,434fc772-5c9c-46d5-b750-cbc027d217d0,0.7227
ml,4150000,560.0,7411,46.6049664,24.7910963,4e2f10c5-7ee6-487d-8732-d196053f4ff3,0.7612
ml,2723400,400.5,6800,46.5943551,24.8055921,8adec459-a4ac-4582-b630-b728f8f14dea,0.7768
