l_neighborhood,deal_price,area_size,meter_price,lng,lat,uuid,rs_score
rd,3100000,900.0,3444,46.7624894,24.7376143,241b2c40-5ddc-439d-9402-82977b7ee6fc,0.2326
nr,1176000,280.0,4200,46.6510661,24.874697,1014fc86-c861-4f07-ae9d-559aaf339f78,0.7038
ml,8400000,560.0,15000,46.6134569,24.8013428,4e08eedf-84f9-4f13-9f48-2f0b4459c590,0.789
nr,1493640,324.0,4610,46.656102,24.8483952,fabced10-a343-4568-b242-05c88fa77ac0,0.761
shf,560000,434.0,1290,46.6905616,24.5576678,75fffe18-8e5c-4c8c-91ec-86d1d365641c,0.7053
ml,14800000,1050.0,14095,46.5942571,24.8139245,0c8303b0-744f-4ec6-ad06-57dcb0a3a00f,0.7888
nr,3150000,900.0,3500,46.66308,24.874976,bcb0157d-f10a-48da-9895-8d160fefa7e6,0.7022
ml,4455000,540.0,8250,46.595203,24.793785,c7e00148-52f9-4ee6-bdfd-224d79aca21e,0.7522
shf,700000,537.5,1302,46.7005629,24.5628619,868dc95d-1b4a-4ae6-90be-3e5cdbedd664,0.731
nr,1620000,343.75,4713,46.6361863,24.8807975,232733bb-d569-49a8-8f64-dcd999e16242,0.6607
rd,2450000,1000.0,2450,46.7669941,24.7395781,a3a99cb9-e9f5-40d9-a06f-d747d0f01be2,0.215
shf,1150000,625.0,1840,46.6865817,24.5516205,e401a006-e133-4a7a-9752-a7f488b07be0,0.7061
ml,3500000,840.0,4167,46.6019057,24.7835737,d3fae6de-06b6-4dde-8834-5137f46f53b8,0.7416
ml,3790000,420.0,9024,46.6086485,24.7870739,6d250bae-bb29-4fc7-9d10-117fc83fc28f,0.7564
rd,1700000,400.0,4250,46.7584524,24.7314683,9c9629d5-909e-4ad4-b941-f5db3208d8d8,0.2269
rd,1899998,625.0,3040,46.7635335,24.736839,345bb6cc-32df-4143-82a7-315794f11f0d,0.2237
rd,3000000,750.0,4000,46.7611282,24.7329163,a544b0ba-04ab-499b-bb9b-f65eae1ba09e,0.2199
shf,750000,480.86,1560,46.6832287,24.5615054,bc607dc1-2452-44e3-9ec9-fcbaef19fda2,0.7004
ml,4650000,600.0,7750,46.5946068,24.7940808,f7b83a6e-a730-4e81-bb77-fa2bc601cb03,0.7514
ml,14600000,1916.03,7620,46.600592,24.7980215,f90dbb95-907f-4e79-b5c4-1bc3f5c4907b,0.783
shf,1500000,464.0,3233,46.6912297,24.5457469,87327a32-1c04-49fd-b92f-8332ae2143f5,0.7022
rd,2050000,400.0,5125,46.7778943,24.7419513,aad3c2a0-aeb2-4af2-864d-f36b84e16bad,0.1587
rd,2900000,750.0,3867,46.7645651,24.7243479,e44864f5-15f8-4ac8-8f45-0fe1517af52c,0.1622
nr,47206250,11375.0,4150,46.6678833,24.8557113,7d030304-4d3a-448a-8818-d813c4f1fb20,0.7697
shf,1650000,525.0,3143,46.6995162,24.5637412,7fb41acc-8cb6-413d-a8d9-ca5efcdec9f4,0.73
ml,3920400,594.0,6600,46.5693131,24.7887598,9bbf69f1-1b14-4a78-8f79-229b71923bff,0.6386
nr,1958196,337.62,5800,46.6818429,24.8209827,bfbe3b41-4af7-458b-b784-e3e2ec9f1c7a,0.7826
nr,3003000,715.0,4200,46.6582042,24.8534379,f8894194-4fc0-4e43-ae1c-df38d1f434e4,0.7628
nr,9087062,1714.54,5300,46.6798803,24.8183896,faf3efb4-296e-4062-8ee9-e1632932c1a2,0.7706
ml,5775000,875.0,6600,46.6236286,24.8013407,343a8d77-b86d-4c6b-bab7-c31a6a95b6ee,0.7878
ml,1642920,123.0,13357,46.5912972,24.7831697,c3080cc6-d20d-4d10-b41a-cd583025fcfd,0.7207
nr,2249131,368.71,6100,46.6792301,24.8223853,b6314c50-66cd-40c4-b57d-f99221a9e085,0.7815
rd,3010000,517.5,5816,46.7616282,24.7172779,9b8f5cd5-3f47-4a20-bc0d-7001b856b71d,0.1402
nr,1493640,324.0,4610,46.6540381,24.8479422,83afcd47-b9bc-44d4-bcb2-4eeb744bc01d,0.7539
shf,1300000,675.0,1926,46.6877044,24.5570721,774526be-b98c-4b9a-a619-a03534ce6bd9,0.7036
ml,5100000,467.19,10916,46.6131124,24.8197682,e065e77a-4c18-4025-8f28-f56bdae48d28,0.7828
rd,4100000,750.0,5467,46.7661008,24.7252867,6cf4173c-a3fd-45aa-be04-98951e8339cb,0.1591
nr,13608168,2430.03,5600,46.6780978,24.8206396,8d4c823e-9b24-4509-98ce-7ad6f84f08b8,0.7727
nr,3600000,900.0,4000,46.6535077,24.8665309,b89ff940-22c9-4c95-8112-54aec4159374,0.7449
nr,2462369,443.67,5550,46.6791263,24.8235596,ca169e1b-07bc-44cb-af9a-769dcf50fbeb,0.7859
ml,4950000,900.0,5500,46.6009731,24.8053902,00d7eb6e-124f-4510-b805-e5a5b43903f1,0.7999
shf,350000,450.0,778,46.6888936,24.5625645,cfa54756-9d01-433d-a8fc-a7002e22bfe8,0.7009
rd,3000000,720.0,4167,46.7662938,24.7260047,f7f206e1-faba-4eb9-a9c7-997f27fb885d,0.1615
ml,3710000,349.94,10602,46.6129055,24.7899525,a7756c69-8a00-4efa-bc0c-b7cad419a909,0.776
shf,1740000,735.0,2367,46.6952269,24.5490149,ec3f0ecf-3f56-45ae-9876-4efc539d6cf6,0.7184
ml,7700000,630.0,12222,46.6222787,24.7907014,846494e6-5a7f-497f-b40a-c202fd034393,0.7805
shf,950000,450.0,2111,46.6902074,24.5651342,a4377a0d-295d-47d2-a7a1-63a41e9bf015,0.7076
ml,4500000,900.0,5000,46.5947792,24.7993081,58d57faf-89b1-456e-9bfb-7959b791456c,0.7705
nr,1892250,435.0,4350,46.6535462,24.8694801,1b3a9808-35cf-4e64-a854-58610d7790e8,0.731
tn,850000,341.0,2493,46.6883587,24.77699,e64f6344-6c33-4e5d-98a6-741acb3ee7c2,0.7314
tn,6000000,875.0,6857,46.6936197,24.7699908,ea6d56a9-0d61-4409-8cec-10d2da2344ba,0.7058
tn,1018291,875.0,1164,46.695543,24.7671691,81e7072d-45e9-4488-9f62-1513c5b87884,0.6916
shf,543416,453.18,1199,46.7140546,24.5789774,032a2a11-8856-48f0-9780-deec9da1faf8,0.6894
rd,178125,60.0,2969,46.7654645,24.7378899,78cffe86-b112-4d58-915e-6916b1dd3766,0.2172
shf,1550000,1122.09,1381,46.6941105,24.5607472,6206714c-2458-4c84-8d6f-d699d5d9e708,0.708
ml,11000000,808.5,13605,46.6079257,24.799838,944a0af7-6bd3-4939-8ab8-5b791ace2304,0.7814
shf,790000,500.0,1580,46.7077662,24.574658,f396fee9-295b-4865-b02d-92fed7f31c10,0.7253
nr,2025000,450.0,4500,46.6859544,24.8293263,d40171e3-0ba3-4bb8-bbc9-b055eb964f92,0.8176
nr,3255000,698.02,4663,46.623737,24.9041247,e4b9d46d-bdd5-4485-b09d-434229fbad47,0.53
nr,1760000,440.0,4000,46.655662,24.8852457,f33515c3-2194-4086-9ee2-f15decb22363,0.6538
nr,1551960,324.0,4790,46.6547684,24.8491812,9575b901-7eed-483e-a8e3-2b3a9f49fb9d,0.7502
nr,1558440,324.0,4810,46.6559271,24.8486764,bed3ad85-bdaf-49c4-ab1d-9d05024773ae,0.7612
shf,4500000,750.0,6000,46.6953512,24.5478841,1952cc30-2779-4e8f-b907-7c56d79c4e36,0.7105
tn,2119289,381.8,5551,46.6919652,24.7713099,f009fff9-78dc-4df6-a4e0-8271250d76b3,0.7142
nr,4655750,846.5,5500,46.6822433,24.823627,d576e168-4244-4a8b-ac70-c6e09edf3466,0.7946
nr,1551960,324.0,4790,46.6553871,24.848845,9a11ce13-3ec0-4f0c-887b-f9f97cac9dac,0.7509
ml,7424000,928.02,8000,46.589937,24.8082433,67026dbc-9f0e-4e9b-90c2-94e760d99ec5,0.7619
ml,12560252,900.0,13956,46.595102,24.8135569,d1c36a7e-9d74-4601-981e-e1016ee8233e,0.7931
nr,1176000,280.0,4200,46.6521459,24.8748021,2a78ec3b-6896-4d48-baaf-541dc5cf71f9,0.7041
rd,2767500,675.0,4100,46.7588825,24.7357996,0b9faa56-1b94-4983-8ccc-1dcd9ddb9832,0.2445
rd,7227000,1980.0,3650,46.760315,24.7212306,b4afa7a6-528b-4684-90df-418ce3c9ed35,0.1669
rd,800000,315.0,2540,46.7780276,24.7399248,56f43cae-bbd5-440e-853b-12bb8ee2680c,0.1516
ml,6800000,570.0,11930,46.5924431,24.7924109,542ee4f9-7e38-4ad7-8317-7649a37f4685,0.739
nr,4950000,900.0,5500,46.6637589,24.8755517,9f0233dc-2e50-4cda-91df-2b541d7637de,0.6978
shf,918888,625.0,1470,46.6819414,24.5587511,054a7748-8df1-4918-930c-c6fb80febd88,0.698
shf,1050000,640.0,1641,46.6916187,24.566038,7867d2b1-9e9d-4681-8c96-61b778f2c0d0,0.7138
nr,2570925,619.5,4150,46.6523331,24.8728617,fb4bbe65-1e74-4af4-bec3-aff467c346d4,0.7125
shf,800000,450.0,1778,46.6873542,24.5638096,9f9f2ecd-736b-4481-8e97-52f93a0f9d0e,0.7011
ml,2880000,450.0,6400,46.5909265,24.8150165,1a9a527a-a33a-4e6c-9950-62fb88028f19,0.7736
shf,1000000,680.0,1471,46.691095,24.5690609,734d66a4-04bb-42c9-876c-616770eb79e0,0.7205
rd,1000000,750.0,1333,46.7643243,24.7241971,189ff068-6f29-4862-957f-002757734eba,0.1627
tn,1438444,373.24,3854,46.699535,24.7746313,3593ac3a-3967-4e27-a851-824f68a20640,0.6993
ml,705000,900.0,783,46.6060039,24.8092083,3ddc2690-707c-4a0f-b527-3120d35ed5c8,0.8039
nr,4701600,983.4,4781,46.6776277,24.8484438,5ca153d8-84c3-40fd-8b17-9f9b49f89bc1,0.8066
ml,15666665,1296.38,12085,46.6163694,24.8170132,1418fd5d-8339-43ed-a93a-eb666f9b25b1,0.7831
nr,3000000,495.5,6054,46.6469744,24.867371,d93946ca-5f1b-4034-a0b7-dcc15b1a7ce3,0.7258
rd,1000000,690.0,1449,46.7601792,24.7301918,8e21b9f5-1695-42de-864f-5bd4915f6519,0.2122
shf,320000,400.0,800,46.7111633,24.5720097,36775644-aa92-4afb-847f-61ea580b55ab,0.7109
rd,1088160,307.49,3539,46.7706238,24.7274684,e6022f85-dfd0-4c32-bd64-8a4c2cd080a8,0.1458
nr,1720000,430.0,4000,46.656636,24.8857901,388d726a-f890-4412-922f-874346bfbe8c,0.6489
shf,1620000,810.0,2000,46.684994,24.5583416,bc7cb417-b682-498d-bdaf-bfccaebb9cc3,0.7026
nr,2256940,480.2,4700,46.6504687,24.8537805,19f03aa2-4fac-4022-aebc-2b4153fafec3,0.7595
rd,3500000,744.0,4704,46.7578489,24.7337198,a85617b8-7b55-4bc1-a66b-f777a5b1f0e2,0.2405
tn,2050000,437.5,4686,46.695533,24.7689835,ebadcb39-b049-485d-b580-7d1178603e5a,0.6955
shf,540000,350.0,1543,46.691173,24.564922,6681a217-530e-4fe2-a008-b4df63e9e372,0.7092
shf,902447,634.0,1423,46.6845948,24.5640436,a34632d4-85b3-45f1-bccb-74cf3c03251a,0.6979
nr,1755000,390.0,4500,46.662889,24.8358745,f4a721ce-8f00-44d6-9edd-c3e3e226412f,0.7632
shf,225000,575.0,391,46.7105176,24.5769428,e54e874e-3504-487b-aa57-d3b5111161bf,0.7118
rd,2000000,625.0,3200,46.7662475,24.7448429,4af6cf1b-38c7-412b-94b5-854257837aa0,0.2375
rd,1350000,350.0,3857,46.7721879,24.7451233,34c42d32-13ce-4dd9-97ba-568927abdb90,0.2026
shf,3000000,800.4,3748,46.677093,24.5578055,387383df-5625-4225-a933-fb92c57d669f,0.6799
nr,1000000,2907.05,344,46.6430007,24.864671,8e3a6fe5-6464-4b38-bf5c-6fb30fb3bf0b,0.7193
ml,2223000,370.5,6000,46.6115152,24.7976317,e9b31a3c-ecb0-4f75-a419-bec6318a64e8,0.7813
shf,1400000,1050.0,1333,46.7048083,24.5693028,8affbd89-aebb-4e4c-be5f-96366f0180bd,0.7368
ml,3444210,492.03,7000,46.5877797,24.8018695,2ff36b82-64c1-4957-bab0-e011d0120208,0.7401
rd,1550000,598.0,2592,46.769732,24.7314679,dfab1c7a-4973-45ab-902b-a36d30adc203,0.1677
rd,1450000,450.0,3222,46.7741507,24.7440781,838e4fe1-d0bf-4cff-8938-d3ca46349b79,0.1877
shf,1381371,525.0,2631,46.6794282,24.5563162,033aa630-7608-43b4-b7cc-4bfa8bc1a6ac,0.6873
shf,650000,437.5,1486,46.7049475,24.5745873,e7a54408-3529-44a9-8816-9c4c1a893942,0.732
rd,1210000,450.0,2689,46.7712354,24.7451748,45973356-13e8-4377-b0db-fad54f653aa0,0.2086
rd,300000,2247.97,133,46.7727081,24.7284542,960e5482-b335-4551-b1da-253a116eb9cf,0.1389
nr,1810955,378.07,4790,46.6555114,24.848599,5ee33208-1f29-4aa7-91cc-420611d97f8c,0.7598
shf,539900,650.0,831,46.6835789,24.5602935,83916fe2-7dc2-4379-bf56-b440d9b6f3f8,0.7018
ml,8300000,875.0,9486,46.6240776,24.8015297,8d347911-5160-4562-8017-9d92f9363bfc,0.7879
nr,1731240,438.46,3948,46.6575043,24.886364,de8a411e-68a0-42e6-b388-493633db3b6f,0.6439
shf,2000000,900.0,2222,46.7033133,24.5644836,8da5f5d2-340f-4458-8722-f79c0d9d1223,0.7372
rd,3374000,1250.0,2699,46.7700885,24.7277441,d61a50ba-f4a4-4b20-a970-716a3a080045,0.1498
nr,2412482,412.39,5850,46.6813352,24.8210186,c349e660-7998-4cc3-86d8-7bd41b40f7e8,0.7813
rd,2312500,625.0,3700,46.7587931,24.7217754,6ad4768a-c90f-4e34-9579-2bbd5c5f6dd1,0.1768
ml,5800000,1120.0,5179,46.6156411,24.8098518,456b81a0-e294-44db-90e0-e47f9621cf80,0.8007
tn,1553920,372.96,4166,46.6993162,24.7750713,62302690-c153-4062-ab4e-c4bdeb40b3ce,0.7004
nr,1736758,362.58,4790,46.655017,24.8486893,734b7363-27da-43fd-946e-0f15a5a5f1f9,0.7586
ml,1338463,619.96,2159,46.5744506,24.7844911,c52101ea-45a9-4a03-beb9-573d29a8ca42,0.6711
shf,536732,500.0,1073,46.7074169,24.5750949,ba13f636-87e6-4ff9-a406-16c3312a5245,0.7263
rd,1500000,500.0,3000,46.7772376,24.7281146,b8212b19-00f7-4c47-9aae-52300e8070e1,0.1129
ml,19000000,904.56,21005,46.5938045,24.7927958,73fe0cee-0c67-4da5-ae98-b28acf69d8e3,0.7451
ml,11500000,870.0,13218,46.619158,24.7976239,044f3044-be34-44e2-b57a-d46143178e85,0.7949
ml,1366875,607.5,2250,46.6104537,24.7960643,65e92b1f-1a81-4f1f-8226-16f1cea01c2e,0.7777
nr,8474581,2201.19,3850,46.6428359,24.9015533,8f33f37b-0770-4150-be32-11c3c9d6afc7,0.5823
ml,2857500,450.0,6350,46.5908681,24.8151363,e8a9e67d-e57a-40de-a491-c91bf8d74fc7,0.7708
shf,1800000,1503.63,1197,46.7005118,24.5668221,36b730fc-40cb-4007-97f1-8234991e04d6,0.7368
ml,400000,390.0,1026,46.6008697,24.8037698,28c000b1-8283-401e-9e7d-ee884e9f543e,0.7975
shf,1270000,625.0,2032,46.6865817,24.5516205,b6e13c02-0508-40d9-8838-96dcc75e9cd9,0.7061
ml,1800000,325.0,5538,46.6150115,24.7949031,35ca39f2-7aee-49c4-9d7b-859f5c1cd026,0.787
nr,34060608,6307.52,5400,46.679387,24.8196048,b256721e-a188-46e6-ada2-0581991d8203,0.773
rd,2205000,630.0,3500,46.7785204,24.7390806,5ba3215c-de02-403f-beba-5ac24cc4030e,0.146
ml,3300000,600.0,5500,46.6286725,24.7959282,02fb287b-e726-4a2d-ac2c-1dc3c3466147,0.7977
nr,1186590,780.0,1521,46.6597731,24.8759905,ff34540e-43be-48df-9036-601e9f5e4011,0.7021
nr,1742580,378.0,4610,46.6560076,24.8483555,96cc0878-7522-4e1a-8e43-c10ae782a19e,0.7607
ml,4410000,600.0,7350,46.5947864,24.7941564,b43ba237-440e-4252-b01c-0cb8bf52d149,0.7523
nr,1335000,300.0,4450,46.6555114,24.8503962,c8e17437-466d-407f-8740-ba545ce60e2e,0.7533
rd,2000000,660.0,3030,46.7648801,24.7314758,031a81b9-9bc6-4693-a487-c14b77c67afe,0.1938
shf,4000000,844.2,4738,46.6796214,24.5534712,f1ac6510-6df6-41a0-a212-6f5e75b58c87,0.6859
ml,2080189,437.5,4755,46.6163573,24.7910682,34cbb058-0519-415b-a7c5-2c98643b7960,0.7799
nr,1720000,430.0,4000,46.6569607,24.88614,76c60126-c8ea-41b4-9cee-81ab0e84a4e0,0.6463
shf,900000,500.0,1800,46.6985327,24.553568,765810cd-c38e-4eab-ba1c-787af1647538,0.723
ml,1937091,337.5,5740,46.5730775,24.7857403,5c08a65c-eab5-42f1-8dec-788a435e51c6,0.6632
rd,1120532,800.38,1400,46.781114,24.7355662,514c0da3-1936-4746-a648-bb766ab5aabc,0.119
ml,1025750,300.0,3419,46.6236397,24.7924667,2da5028a-c993-4b11-be0d-730938be1876,0.7924
tn,3600000,750.0,4800,46.6908998,24.7748425,4a48cd5b-9e98-4861-82f4-c2b8321b64c0,0.7208
rd,7200000,2490.0,2892,46.772163,24.7247835,c8740292-e6a5-4e8e-969e-a73bb9ebebcd,0.1257
shf,728000,450.0,1618,46.6882816,24.5647918,5c406a4d-2d0b-479a-a9da-bf713d454aad,0.7023
ml,3307500,525.0,6300,46.6225444,24.7945508,a85f1cfe-9421-4bdf-90b9-5b1e557bdad0,0.7978
nr,1987500,375.0,5300,46.679881,24.8235451,d62d06d9-a830-44e1-935e-bfc7cc83377c,0.7881
ml,952693,300.0,3176,46.6209635,24.7911011,55b384ca-4cc1-4640-aa7e-b8da6ed18882,0.7882
rd,8377906,2464.09,3400,46.7812604,24.7291671,f23e8ce7-a489-426e-adfe-a04b761941bd,0.0947
shf,570000,250.0,2280,46.6909461,24.5483561,8aac34a8-c9c1-4c10-9263-fd1af3a7f606,0.7105
ml,4500000,400.2,11244,46.6112625,24.8153893,ae9b598e-1460-4492-bb62-71458052e2a9,0.8046
rd,600000,750.0,800,46.7600822,24.7215401,52ceeffa-456b-4d15-b071-e216ce7eb6fe,0.1696
rd,600000,417.6,1437,46.7764307,24.7409507,33c11a8d-8bc8-4775-9446-5ed6317ca97d,0.1644
rd,2312500,625.0,3700,46.759141,24.7217152,192d8aa0-0778-4297-af01-e72da717d667,0.1749
ml,9000000,560.0,16071,46.613932,24.8012639,46784cba-2848-4955-b6d2-291f534b8fb4,0.7896
rd,2700000,900.0,3000,46.7549501,24.7393425,c6ae355f-48bc-48a9-961c-f35ff5a41876,0.2808
ml,7541550,1040.0,7251,46.6213086,24.8061599,cc5426b2-8390-48f0-81fb-d58c74fbec96,0.7973
nr,4025000,875.0,4600,46.6643737,24.870421,766a0d3b-8e5f-4a3f-a32a-713cb99f7ee4,0.7182
rd,2150000,650.0,3308,46.7672785,24.7352164,52bb2b18-9de4-4759-83b5-8bb9d2f8220c,0.1965
ml,2300000,1527.89,1505,46.596928,24.7820996,c852fd16-6f47-4e76-b2a8-caf17a41f64d,0.7334
tn,8640000,1600.0,5400,46.694262,24.7669641,eef723de-8313-4ee9-9010-443f14ded5fc,0.6969
nr,3350000,420.0,7976,46.6341828,24.9023485,b117fbee-63ef-42eb-8c51-dd004408691c,0.5705
ml,5625000,750.0,7500,46.5720727,24.7924658,787d9316-e439-4c54-9ec0-dbb47ea48878,0.6514
shf,480000,281.25,1707,46.6990854,24.5629423,33b3fbbe-514c-47eb-ba9a-431a5a70c314,0.7278
rd,1870000,550.0,3400,46.7700608,24.7264276,1304a0c7-ce5e-49f1-bcac-019c9caa84bd,0.1441
shf,1350000,690.0,1957,46.701022,24.5623937,f7c57aeb-6085-4283-afbb-b5e461daab34,0.7309
shf,5800000,2173.5,2669,46.6895826,24.5682711,9506c4d1-2c6f-41dd-91ba-f03e7587f7f5,0.7122
nr,1330560,336.0,3960,46.6556714,24.8478363,6d83b5f8-8df9-4b84-8e45-f45ee8228aec,0.7583
nr,765625,437.5,1750,46.6378906,24.8903552,97b1a8d9-9cbb-4105-9a60-e26c20d74df2,0.6301
ml,3400000,358.11,9494,46.6082194,24.8004599,4ebff43a-fa0d-4b9b-8872-2763ff564360,0.7834
shf,1900000,825.0,2303,46.691241,24.5560232,715bcd4e-ceba-4d8d-9022-b6d03eac2430,0.706
rd,2312500,625.0,3700,46.7589967,24.7219001,7bd2edc5-5c74-4d64-8a74-f8710d436836,0.1765
rd,2900000,480.0,6042,46.7553733,24.7399311,d5b45699-416b-4ed5-baa8-a18491cf10cb,0.281
ml,19398299,3035.62,6390,46.5908822,24.7850274,21f1e917-9374-47a5-a8dd-5cf2c1899e9a,0.7227
shf,1300000,875.0,1486,46.6994404,24.5666248,2dbfa969-49fc-4cb8-be75-45a2c2af593a,0.7333
ml,6696000,1232.25,5434,46.6233663,24.804438,b57a58ce-56a7-49ca-a2ba-deb461dc1132,0.7996
tn,6000000,840.0,7143,46.7044266,24.7793723,ae81ef67-d9be-4ccd-b335-3be85b857621,0.705
shf,575000,575.0,1000,46.6825159,24.5576413,122e3117-88b4-4a54-9eb9-586fce389cbf,0.6981
nr,5250000,1050.0,5000,46.656928,24.8587886,c3a70986-548c-421a-899a-b1b3d0ec89b6,0.7623
rd,8652150,2465.0,3510,46.7801859,24.7279567,0c41e21e-3477-42aa-8c4e-ac606a4abbba,0.096
ml,93520000,4800.0,19483,46.6184007,24.8094227,e8d2dae7-1a5f-4939-b235-e75ed4dcd615,0.8018
shf,630000,500.0,1260,46.7117022,24.5727691,7adf5dee-1c9a-47b1-b3b3-09c1b9038c2c,0.7071
ml,2200000,540.0,4074,46.5948854,24.8037343,9f287b02-6933-464b-bdf5-f65658f79440,0.7769
rd,2400000,500.0,4800,46.7719869,24.7260363,a2ee40d9-709e-4f6b-93b8-7564aa75463b,0.1323
ml,6000000,603.0,9950,46.588156,24.7991638,728ddaaf-4b66-4bfa-868b-e109f204da7b,0.7354
ml,92000000,1875.0,49067,46.6206416,24.8115092,08da5321-9270-459a-92cf-ae6aeac6dfba,0.794
tn,768750,337.5,2278,46.6992277,24.7772327,f31b7073-0360-4b43-aa20-2b9d3d459513,0.7043
shf,1000000,540.0,1852,46.6970329,24.5650325,f26ad3d3-d07d-4f81-93b8-1e40cdc7e152,0.7257
nr,1531920,312.0,4910,46.6544158,24.8489843,5af43a4f-2ddb-45bb-876e-769d3cc8821e,0.7583
shf,1100000,625.0,1760,46.6770884,24.5574803,4c647aa6-c2ec-4eaa-9ede-09dcd4a920fc,0.6804
rd,2500000,640.0,3906,46.7689899,24.7448897,026a0cd1-af39-46ad-a102-f32daef402c5,0.2212
ml,10010000,1540.0,6500,46.6026018,24.7889324,bcdab527-8fdc-47b8-9a3a-96318b0e31da,0.7504
rd,2250000,675.0,3333,46.7631407,24.7230784,f06c0184-53fc-43ae-a649-e1198e2c547b,0.1629
ml,1738930,540.02,3220,46.6068911,24.8024363,ba3c9046-0796-4d89-8279-a174f30fe834,0.7935
shf,750000,450.0,1667,46.6922382,24.5645142,77d3554a-2131-404e-b4bf-7df3d4ffe297,0.7114
rd,2200000,720.0,3056,46.761467,24.7258094,8330e8ee-2648-48ab-a338-5886d357c93d,0.1846
rd,2000000,650.0,3077,46.7629911,24.7206998,f77e45e8-be48-409e-bf09-16f951915066,0.1516
rd,1600000,497.0,3219,46.7682897,24.7452355,b2962bdc-db4d-470b-ad41-b78304b7601d,0.2265
nr,1392000,960.0,1450,46.6366703,24.9012409,47ce7dc9-4d8a-460a-9c0d-c9aa5722fe69,0.5805
rd,7500000,2500.0,3000,46.7716364,24.7429602,5bc5f0b0-515f-409e-ae6e-c573f64b3e99,0.1994
rd,3461500,989.0,3500,46.7793357,24.7279911,ce98af65-81d0-4307-9ea6-580be9fc6c29,0.1008
nr,2352994,375.0,6275,46.6798338,24.8513822,3555d0ef-bf75-4802-90dc-3297b1099a1f,0.7951
nr,1867749,450.06,4150,46.6539052,24.8765811,65bf373a-8288-447a-ae5b-643c5135ffe1,0.6984
shf,870000,640.0,1359,46.69316,24.568596,49b72f71-9c4f-4587-aae1-9ee12381a705,0.7264
shf,923250,615.5,1500,46.7033582,24.5749551,fbf09817-02bb-4d79-ae1b-3031b22a6994,0.7255
ml,24869180,1776.37,14000,46.5864603,24.7939318,750e7b40-3230-4c5f-a1ea-771b14bd973b,0.7192
rd,481491,546.0,882,46.7687309,24.7496965,25045081-902b-4c49-9a59-06dfcc19a9cc,0.2365
nr,685273,420.5,1630,46.6313667,24.894985,b30c03a1-c4b6-4149-9b4b-66324ce3cb2a,0.5971
shf,262071,250.0,1048,46.6909461,24.5483561,dde3c82f-b64c-41c6-92c5-2b388a606819,0.7105
rd,2000000,640.0,3125,46.7683812,24.7445088,8c5c338a-5fdc-44c3-9d5a-d7cf83fb02c1,0.2237
nr,1335000,300.0,4450,46.6556462,24.8504529,b3c2dbc1-c454-496f-a558-94692f8dccf3,0.7632
rd,1000000,793.0,1261,46.7688556,24.7323543,96432872-a3f5-4d43-add6-868c5b3dbe4c,0.1762
nr,1531920,312.0,4910,46.6534493,24.8486656,9ffa8133-416e-45c0-8c8e-42501865219c,0.7552
shf,4200000,725.4,5790,46.7023883,24.5670159,0df0e4a4-753a-455e-99a0-0c9d3945f09c,0.7391
nr,843000,616.0,1369,46.6439554,24.8819642,9b85e11f-87a6-49a1-a88e-f690729353b0,0.6728
nr,1700080,425.02,4000,46.6557923,24.8879524,18e1822f-ddba-4a37-9825-9b43edef4a9e,0.6378
ml,12600000,1800.0,7000,46.5994038,24.7980206,40a516ec-8fa7-4d9f-9ba1-4d59e6fdd0e2,0.7814
nr,5858250,1095.0,5350,46.6697233,24.8605339,d3f19096-955d-4b22-a6e5-a6d413d2fa30,0.7537
ml,3960000,600.0,6600,46.6109441,24.8173929,6d376c11-e524-42f4-8c98-fed9563ea8c7,0.7994
nr,3675000,1050.0,3500,46.6660562,24.8675236,b6c42360-0a1e-4df9-b59a-d35206e2a0e8,0.7291
nr,1551960,324.0,4790,46.6548306,24.8490582,8a9bc836-d708-4f83-9cd8-680037f9c3ad,0.7501
shf,1000000,1232.0,812,46.6903682,24.5683214,9b7de661-a34d-42b9-8ccf-91d7613e92dd,0.7167
shf,1750000,891.0,1964,46.6828033,24.554835,f06704d1-225f-4d6f-9b38-0ead06762d73,0.6962
nr,1520000,390.0,3897,46.6846865,24.828709,1d54dff9-787c-4266-afdd-9b2b6b47361a,0.82
ml,3500000,500.01,7000,46.5968031,24.8161483,d11d67c5-1635-4099-8988-d99f1b5b88c4,0.7988
ml,9500000,1495.0,6355,46.6170416,24.8181211,ff0f3d04-ec50-4a37-920a-0f4372e3b5ce,0.7771
shf,900000,640.0,1406,46.69075,24.5668982,832021ee-6af8-4f19-ad73-ab852c5e18ff,0.7144
shf,1188000,575.0,2066,46.6814675,24.5587935,34a482f2-0c63-4ee8-96a7-0cfe644c1da2,0.6967
rd,3500000,1004.5,3484,46.7830582,24.7323196,ea537e37-f8af-4149-b735-2d640cf33416,0.0963
ml,800000,442.0,1810,46.623088,24.8051113,574d83e3-a965-4d7d-b3cc-9b3d69edb660,0.7977
nr,1330560,336.0,3960,46.6561432,24.8480347,617af99b-a26d-483e-92bb-797499685940,0.7602
nr,1330560,336.0,3960,46.6572577,24.8479412,5ff2c76d-89f3-4f17-8221-11f321149fc2,0.7628
ml,87821895,6162.94,14250,46.6060527,24.8224888,c45b1d8b-21ff-44fc-9e5d-73543b9a7363,0.781
ml,7560000,945.0,8000,46.6229275,24.7999008,03e96211-a940-4834-b4d5-add57caaba91,0.8074
